,filepath,transcript
0,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674056770_chunk_2_enhanced.wav,अन्त त्यहाँनिरि ठाउँहरू त एकदमै राम्रो छ अन्त चिसोको कारणले चैँ मजले ज्याकेटहरू बोकेर गाक्थ्यो किनभने बाइक स्कुटीमा पुरा हावाले भेट्छ
1,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674056770_chunk_6_enhanced.wav,त्यहाँ घुम्नु चैँ एकदमै मजा आको थ्यो घुम्ने ठाउँहरू चैँ दाम्मी दाम्मी थ्यो तर यो चैँ भर्खर नयाँ बनाकोले गर्दाखेरि पनि होला एकदमै रमाइलो भाको थ्यो त्यहाँनिर घुम्नु
2,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674065804_chunk_1_enhanced.wav,अरुण भाइ बोलेको
3,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674065804_chunk_3_enhanced.wav,पिकनिक जानु भनेको थियो हो तिमीलाई मैले बिहानदेखिन फोन गरेको फोनै उठाएनौ अन्त तिमा फोनै उठाउँदैनौँ मेरो नानीहरू छनछनाएर कस्तो भैराखेको छन् पिकिनिक जानलाई हामी इन्जय गर्ने दिनभरी का जाने घुम्नु जानुलाई ठिक परेको नानीहरले मलाई दिक्कत दिइराखेको छ तिमी आएनौ
4,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014894_chunk_1_enhanced.wav,एस जब्स एट एपल डट कममा एउटा इमेल पठाउनु होस्
5,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673970783_chunk_1_enhanced.wav,रसायनिक किटानास किटानानासहरूले माटोलाई धेरै प्रभाव पारेको छ
6,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673970783_chunk_3_enhanced.wav,अन्त अबो नयाँ जुन आउने ब्याजहरू छ तिनारूमा राम्रोसँगले प्रयोग गर्न सकिन्दैन राम्रो फलफुल हुँदैन र त्यो बेसी मात्रामा लाएको हुनाले सपै
7,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674013834_chunk_2_enhanced.wav,कसैको केही कामहरू छ भने सकाउनुकोनिम्ति चैँ महिलाहरू जब भेला हुन्छ है तब चैँ सक् सघाउनुको लागि चैँ भेला हुन्छ
8,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674013834_chunk_3_enhanced.wav,मसाला पिस्नु भयो है केई काम सघाउनु भयो है त्यस्तोहरूको निम्ति चैँ धेरै भेला हुन्छ है व्या कार्ज्यमा झन् बेलकादेखिको लिएर है ब्यान पनि ब्यान नै कामहरू सघाउनुको निम्ति महिलाहरू थुप्रिरहेको हुन्छ है महिलाहरूले धेरैवरा कुराहरूमा कामहरू सघाउछ है मसाला पिस्नुहरू त भइ गयो है
9,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674013834_chunk_6_enhanced.wav,मरौमाम् भयो है महे मरौमा झन् मेन गरेर महिलााहरू थुप्रिएका हुन्छन् है आएको मान्छेहरूलाई याद गर्नु भयो है त्यस्तोहरूको लागि निम्ति काम गर्नुकोनिम्ति भेला भएको हुन्छ
10,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674056116_chunk_1_enhanced.wav,सङ्घाई न्युयर्क पेरिस दुबई देल्ही
11,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673972414_chunk_2_enhanced.wav,साह्रै सजिलो लाग्छ र इन्टरनेट ब्याङ्किङमा चैँ एस्तो छ कि जस्तै अब मैले गुगल पे खोलेछु
12,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673972414_chunk_5_enhanced.wav,अरूले मिसयुज गर्न सक्छन् र आफू आफ्नु इन्टरनेट ब्याकिङ चैँ आबो एस्तो हो कि
13,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673972414_chunk_7_enhanced.wav,वाट्सएपबडम् इन्टरनेट ब्याङ्किङ हुन्छ वाट्सएपबडम् कसैलाई आबो आफ्नु साथीभाइलाई पैसा सेयर गर्न सकिन्छ जस्तै वाट्सएपमा अब कसैलाई अर्जेन्ट चाइराको छ हरे कसै साथीलाई र त्यो छेउमा छैन भने त आबो
